trial,subject_id,group,stimulus_id,modality,covariate_score,reaction_time_ms,accuracy,neural_response
24,S024,control,stim_020,visual,47.6,494.5753958064326,1,0.8201189998139782
25,S025,control,stim_014,visual,52.4,456.90400986892746,1,0.3889866476111591
26,S026,treatment,stim_015,auditory,66.6,350.66012912643555,1,0.10082053224112758
27,S027,treatment,stim_038,auditory,67.7,300.4274286132992,1,0.667003768357319
28,S028,control,stim_006,auditory,50.1,256.948138661019,1,0.5829935572483015
29,S029,control,stim_030,auditory,34.6,390.22452147857007,1,0.5191453142157139
30,S000,treatment,stim_031,visual,48.9,456.0571996194868,0,0.23645869820919097
31,S001,treatment,stim_023,visual,41.4,433.78003938398376,1,0.20665516737911444
32,S002,control,stim_037,auditory,63.4,491.3009776617747,1,0.7537277309711751
33,S003,treatment,stim_015,auditory,47.0,279.93292513088136,0,0.17211954182564487
34,S004,treatment,stim_032,auditory,63.9,337.5511169866889,0,0.7397654989187947
35,S005,control,stim_001,auditory,47.4,387.18312238673144,1,1.0401725196196385
36,S006,treatment,stim_009,visual,67.9,287.9864017936468,1,0.894138632150703
37,S007,control,stim_021,visual,39.7,475.51021469199895,1,0.446386049590646
38,S008,treatment,stim_033,visual,64.6,409.6308334734638,1,0.5500631127388617
39,S009,control,stim_032,auditory,56.1,377.54018185573636,1,0.5709984919020406
40,S010,control,stim_017,auditory,57.2,323.3262767441129,1,0.7570311432142681
41,S011,treatment,stim_013,visual,46.4,543.0695168106788,1,0.44560288476711857
42,S012,control,stim_010,auditory,24.4,416.409266714639,1,1.0836199292291293
43,S013,control,stim_007,auditory,38.5,413.0193572756848,0,0.2761265694990095
44,S014,treatment,stim_014,visual,44.5,509.66194596200245,1,0.23098189652523926
45,S015,treatment,stim_010,auditory,49.6,449.9960204644284,0,0.8234116979094364
46,S016,treatment,stim_021,visual,64.4,397.90592081293676,0,0.4988090414435205
47,S017,control,stim_019,auditory,57.7,522.3360476693074,1,0.47283538376471973
48,S018,control,stim_027,visual,39.4,488.6645017984108,0,0.21698348582632104
49,S019,control,stim_020,visual,50.7,380.43707855351045,1,-0.17725101086024075
50,S020,control,stim_012,auditory,46.9,525.0655091561498,1,-0.07837908442438102
51,S021,control,stim_028,visual,63.6,389.07802008235313,1,0.21653822699041814
52,S022,treatment,stim_039,visual,49.0,351.648042614875,0,0.67890751640586
53,S023,treatment,stim_008,auditory,34.5,387.85679599331763,1,-0.46988023959305614
54,S024,control,stim_030,auditory,47.6,461.9797903399622,1,0.7692439524032499
55,S025,control,stim_037,auditory,52.4,351.70875449225656,1,0.6573152449510141
56,S026,treatment,stim_038,auditory,66.6,307.2853340260474,0,0.5296409197316
57,S027,treatment,stim_028,visual,67.7,281.40009557929363,1,0.5571656220138828
58,S028,control,stim_017,auditory,50.1,597.3774662882561,1,0.23237816490339275
59,S029,control,stim_005,visual,34.6,283.7616696078782,1,0.6309394971593008
60,S000,treatment,stim_005,visual,48.9,457.197490568153,1,0.5104553429958998
61,S001,treatment,stim_032,auditory,41.4,455.0439329930503,0,1.225125232572701
62,S002,control,stim_037,auditory,63.4,430.26124755731416,1,0.018496278153344148
63,S003,treatment,stim_010,auditory,47.0,381.52669075116813,1,0.8685368462047491
64,S004,treatment,stim_037,auditory,63.9,541.5816173406829,1,0.6270044620730446
65,S005,control,stim_026,auditory,47.4,383.2489411155132,1,0.5930082235924424
66,S006,treatment,stim_013,visual,67.9,400.288205314668,0,0.12234306784385579
67,S007,control,stim_011,visual,39.7,442.63079917465194,1,0.742755834795469
68,S008,treatment,stim_029,auditory,64.6,234.82427091590463,1,0.17098285253648138
69,S009,control,stim_013,visual,56.1,371.68877613834763,1,0.4220415001874853
70,S010,control,stim_022,visual,57.2,414.9308849594989,0,0.16147109604833537
71,S011,treatment,stim_009,visual,46.4,465.924100798978,1,0.5037843297799773
72,S012,control,stim_003,visual,24.4,304.7053141483779,1,0.4285016364870696
73,S013,control,stim_036,auditory,38.5,359.3024331896224,1,0.5468035299737648
74,S014,treatment,stim_007,auditory,44.5,386.9019824420746,1,0.6065701651276884
75,S015,treatment,stim_001,auditory,49.6,330.18773286987164,1,0.8422173071427266
76,S016,treatment,stim_002,visual,64.4,393.94699429574325,0,0.5084538451602065
77,S017,control,stim_005,visual,57.7,488.1089412982774,0,0.5893087607272006
78,S018,control,stim_006,auditory,39.4,369.6541406594454,1,0.7671016201896557
79,S019,control,stim_012,auditory,50.7,323.03134935955273,1,0.3311033372811625
80,S020,control,stim_038,auditory,46.9,633.9937035246327,1,0.39014140854036894
81,S021,control,stim_033,visual,63.6,414.7700963737787,0,0.7650146845671506
82,S022,treatment,stim_038,auditory,49.0,278.6805591348212,1,0.33669501771236454
83,S023,treatment,stim_000,visual,34.5,508.0602081030874,1,0.786002303561864
84,S024,control,stim_014,visual,47.6,507.0307383956068,1,0.4212894463606548
85,S025,control,stim_023,visual,52.4,291.09689656730603,1,0.3280864751218064
86,S026,treatment,stim_024,visual,66.6,289.45927175069573,0,-0.08356062533866826
87,S027,treatment,stim_019,auditory,67.7,479.29093565536,0,0.883145759836969
88,S028,control,stim_002,visual,50.1,331.2942874271687,0,0.10313273525650318
89,S029,control,stim_015,auditory,34.6,358.8312877190326,1,0.01166454250520782
90,S000,treatment,stim_009,visual,48.9,511.80720377623874,1,0.32095318938929696
91,S001,treatment,stim_005,visual,41.4,457.71569799882184,0,0.4107062754502163
92,S002,control,stim_018,visual,63.4,388.854535165413,1,0.5112926945992693
93,S003,treatment,stim_023,visual,47.0,222.6085322118745,1,0.33698235437953794
94,S004,treatment,stim_032,auditory,63.9,424.0887945806478,1,0.45621760331886485
95,S005,control,stim_026,auditory,47.4,376.0727243065693,0,0.24811293010814817
96,S006,treatment,stim_035,visual,67.9,343.4085005959222,1,0.7422603293010459
97,S007,control,stim_001,auditory,39.7,381.9039630529798,1,0.2813751216194921
98,S008,treatment,stim_017,auditory,64.6,498.42872886188417,1,0.11149097645386807
99,S009,control,stim_025,auditory,56.1,567.5158154811114,1,0.889763859365867
100,S010,control,stim_009,visual,57.2,360.8448487070802,1,0.30569841103898143
101,S011,treatment,stim_032,auditory,46.4,418.69283715995186,1,-0.16446702662024226
102,S012,control,stim_034,visual,24.4,460.6525594932772,0,0.5292116476388162
103,S013,control,stim_004,auditory,38.5,273.6336208485343,1,0.9352915601815046
104,S014,treatment,stim_022,visual,44.5,437.04945784277857,1,0.9346767873527835
105,S015,treatment,stim_006,auditory,49.6,464.5232874974874,0,0.11851765733380537
106,S016,treatment,stim_003,visual,64.4,305.1045478375723,1,0.42919837536105554
107,S017,control,stim_028,visual,57.7,386.5392343112656,1,0.28201528170744217
108,S018,control,stim_033,visual,39.4,286.18545615949256,1,0.4318870431334119
109,S019,control,stim_021,visual,50.7,407.8549895768311,1,0.6826957989303323
110,S020,control,stim_031,visual,46.9,298.2258896880801,1,0.7592456499705418
111,S021,control,stim_021,visual,63.6,238.2214210477414,1,0.6730480188461246
112,S022,treatment,stim_033,visual,49.0,344.50588602095036,1,0.42607520964098633
113,S023,treatment,stim_006,auditory,34.5,184.72714346335556,1,0.3137387521473831
114,S024,control,stim_015,auditory,47.6,552.406862180273,0,0.682634304782991
115,S025,control,stim_037,auditory,52.4,472.6093175210451,0,0.5294266687281651
116,S026,treatment,stim_024,visual,66.6,421.7927859604076,1,0.22547654275491236
117,S027,treatment,stim_031,visual,67.7,355.20482300940813,1,0.2270047892751667
118,S028,control,stim_011,visual,50.1,354.45873635944645,1,0.5155085628003686
119,S029,control,stim_013,visual,34.6,372.8092632186871,1,0.7719185171504759
120,S000,treatment,stim_008,auditory,48.9,239.51582752314212,1,0.7196315405797935
121,S001,treatment,stim_009,visual,41.4,331.16976572558065,1,0.6527707036536838
122,S002,control,stim_033,visual,63.4,272.0398380613848,1,0.25265188461496746
123,S003,treatment,stim_027,visual,47.0,387.31833741247783,1,-0.10044874699306316
124,S004,treatment,stim_012,auditory,63.9,377.62171290938306,1,0.4958158372153932
125,S005,control,stim_015,auditory,47.4,262.46799413997826,1,0.3034019316417522
126,S006,treatment,stim_033,visual,67.9,309.927984759225,1,0.41560070285826645
127,S007,control,stim_000,visual,39.7,402.4316340816877,1,0.43330497647183497
128,S008,treatment,stim_023,visual,64.6,340.53739926268156,0,0.07135830488323863
129,S009,control,stim_024,visual,56.1,411.9162008976401,1,0.5452997287418799
130,S010,control,stim_010,auditory,57.2,351.4425286476041,1,0.6728587765403848
131,S011,treatment,stim_019,auditory,46.4,195.1632088883092,0,0.4928512931981014
132,S012,control,stim_016,auditory,24.4,380.1120707658695,1,0.016932831097269896
133,S013,control,stim_024,visual,38.5,471.8364003256045,1,0.7441359145577173
134,S014,treatment,stim_018,visual,44.5,402.26524081395337,1,0.6441861150370805
135,S015,treatment,stim_006,auditory,49.6,472.4996179023426,1,0.19224772875035673
136,S016,treatment,stim_036,auditory,64.4,301.51171624600863,1,0.8548623272390319
137,S017,control,stim_020,visual,57.7,374.35098261620914,0,0.12898184397888657
138,S018,control,stim_008,auditory,39.4,344.88020384484565,1,0.653056488235912
139,S019,control,stim_022,visual,50.7,389.38934722333994,1,1.0278123155055352
140,S020,control,stim_022,visual,46.9,467.89343512191806,1,0.4018732074105535
141,S021,control,stim_019,auditory,63.6,417.73159979117185,1,0.515368900650389
142,S022,treatment,stim_003,visual,49.0,308.73797769647456,1,0.5071426358149611
143,S023,treatment,stim_039,visual,34.5,485.96241930695584,1,0.12459211022968791
144,S024,control,stim_031,visual,47.6,325.9032953262775,1,0.33492918564363694
145,S025,control,stim_000,visual,52.4,444.1265674833919,1,0.920386509304216
146,S026,treatment,stim_002,visual,66.6,493.83542646276874,1,0.5116747595479135
147,S027,treatment,stim_024,visual,67.7,342.32803323532227,1,0.4254025381396992
148,S028,control,stim_035,visual,50.1,321.7992381604564,1,0.6346351673117022
149,S029,control,stim_020,visual,34.6,500.069642775429,1,1.044203976843384
